date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:31:54	18028/18028	---M--	200	added ('OK')	text/plain	date:Mon,%2023%20Jan%202017%2018:53:43%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.woff2	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.woff2	(from http://wordpressboss.com/wb/smoth-demo/assets/bootstrap/css/bootstrap.min.css)
12:31:55	23424/23424	---M--	200	added ('OK')	application/x-font-woff	date:Mon,%2023%20Jan%202017%2018:53:42%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.woff	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://wordpressboss.com/wb/smoth-demo/assets/bootstrap/css/bootstrap.min.css)
12:31:56	108738/108738	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2023%20Jan%202017%2018:53:40%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.svg	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://wordpressboss.com/wb/smoth-demo/assets/bootstrap/css/bootstrap.min.css)
12:31:59	45404/45404	---M--	200	added ('OK')	application/x-font-ttf	date:Mon,%2023%20Jan%202017%2018:53:41%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.ttf	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://wordpressboss.com/wb/smoth-demo/assets/bootstrap/css/bootstrap.min.css)
12:32:02	55820/55820	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2023%20Jan%202017%2018:52:49%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/fonts/Linearicons-Free.eot?w118d	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/fonts/Linearicons-Free54e9.eot	(from http://wordpressboss.com/wb/smoth-demo/assets/fonts/linear-fonts.css)
12:32:03	55820/55820	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2023%20Jan%202017%2018:52:49%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/fonts/Linearicons-Free.eot?	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/fonts/Linearicons-Freed41d.eot	(from http://wordpressboss.com/wb/smoth-demo/assets/fonts/linear-fonts.css)
12:32:04	21780/21780	---M--	200	added ('OK')	text/plain	date:Mon,%2023%20Jan%202017%2018:52:53%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/fonts/Linearicons-Free.woff2?w118d	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/fonts/Linearicons-Free54e9.woff2	(from http://wordpressboss.com/wb/smoth-demo/assets/fonts/linear-fonts.css)
12:32:06	55696/55696	---M--	200	added ('OK')	application/x-font-woff	date:Mon,%2023%20Jan%202017%2018:52:53%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/fonts/Linearicons-Free.woff?w118d	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/fonts/Linearicons-Free54e9.woff	(from http://wordpressboss.com/wb/smoth-demo/assets/fonts/linear-fonts.css)
12:32:28	205847/205847	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2023%20Jan%202017%2018:52:51%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/fonts/Linearicons-Free.svg?w118d	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/fonts/Linearicons-Free54e9.svg	(from http://wordpressboss.com/wb/smoth-demo/assets/fonts/linear-fonts.css)
12:32:41	77160/77160	---M--	200	added ('OK')	text/plain	date:Mon,%2023%20Jan%202017%2018:52:45%20GMT	http://wordpressboss.com/wb/smoth-demo/assets/fonts/fontawesome-webfont.woff2?v=4.5.0	D:/download-template/bootstrap-1/bootstrap%20template/wordpressboss.com/wb/smoth-demo/assets/fonts/fontawesome-webfont3295.woff2	(from http://wordpressboss.com/wb/smoth-demo/assets/fonts/font-awesome.css)
